
Code ,Site,,Buco4,,Buco11,,Buco2,,Buco9,,GHB21,,GHB19,,GHB26,,GHB20,,Buco16,,Buco18,,Buco19,,Buco21,,Buco24,,Buco25,
51382,PAAZA,Captive,162,162.0,167,167.0,180,182.0,185,200.0,159,171.0,170,176.0,112,116.0,181,183.0,176,178.0,176,176.0,175,175.0,101,107.0,197,205.0,131,131.0
51153,PAAZA,Captive,162,162.0,163,163.0,180,180.0,176,188.0,0,0.0,154,154.0,0,0.0,179,181.0,172,178.0,176,180.0,172,175.0,101,101.0,217,217.0,133,133.0
51150,PAAZA,Captive,162,162.0,163,167.0,182,182.0,170,185.0,171,171.0,154,174.0,112,114.0,179,179.0,178,182.0,176,176.0,175,175.0,101,113.0,193,201.0,133,133.0
51148,PAAZA,Captive,162,162.0,163,167.0,182,182.0,185,188.0,171,178.0,154,154.0,118,118.0,181,181.0,178,178.0,176,176.0,175,175.0,95,119.0,197,197.0,131,131.0
51147,PAAZA,Captive,160,162.0,163,163.0,180,182.0,170,200.0,159,169.0,156,174.0,114,116.0,181,181.0,178,178.0,176,176.0,175,175.0,101,104.0,197,213.0,133,133.0
Ble194,PAAZA,Captive,0,0.0,0,0.0,180,182.0,176,176.0,157,161.0,154,154.0,114,116.0,181,181.0,176,176.0,176,180.0,175,175.0,95,101.0,193,229.0,133,133.0
Ble295,PAAZA,Captive,0,0.0,163,163.0,180,182.0,185,188.0,165,167.0,170,176.0,114,116.0,181,181.0,172,186.0,180,182.0,172,175.0,101,101.0,205,209.0,131,131.0
Ble284,PAAZA,Captive,162,162.0,163,163.0,180,182.0,185,188.0,169,171.0,170,170.0,118,118.0,181,181.0,178,178.0,176,176.0,175,175.0,101,119.0,193,217.0,131,131.0
Ble279,PAAZA,Captive,162,162.0,163,167.0,180,180.0,200,200.0,167,171.0,170,176.0,112,114.0,169,181.0,178,186.0,176,176.0,172,175.0,95,107.0,189,189.0,131,131.0
Ble277,PAAZA,Captive,162,162.0,163,163.0,180,182.0,176,188.0,159,169.0,170,180.0,116,118.0,169,181.0,178,178.0,182,182.0,175,175.0,95,119.0,189,217.0,133,133.0
Ble275,PAAZA,Captive,162,166.0,163,163.0,180,180.0,170,188.0,159,173.0,156,170.0,114,118.0,179,181.0,172,172.0,176,176.0,175,175.0,101,119.0,197,217.0,131,133.0
Ble274,PAAZA,Captive,162,162.0,167,167.0,182,182.0,185,188.0,171,171.0,170,180.0,114,116.0,181,181.0,172,178.0,176,176.0,175,175.0,101,119.0,193,205.0,133,133.0
Ble272,PAAZA,Captive,0,0.0,163,163.0,180,182.0,182,182.0,159,171.0,170,180.0,114,114.0,181,183.0,178,178.0,176,180.0,175,175.0,101,104.0,189,217.0,131,131.0
Ble267,PAAZA,Captive,162,166.0,163,163.0,180,182.0,188,200.0,0,0.0,154,170.0,114,116.0,181,181.0,178,182.0,176,182.0,175,175.0,101,101.0,189,217.0,133,133.0
Ble262,PAAZA,Captive,162,162.0,163,167.0,0,0.0,0,0.0,169,171.0,154,154.0,114,116.0,0,0.0,172,178.0,176,186.0,175,175.0,95,101.0,217,217.0,133,133.0
Ble197,PAAZA,Captive,162,166.0,163,163.0,180,180.0,179,188.0,159,159.0,170,170.0,114,114.0,181,181.0,178,178.0,176,180.0,175,175.0,101,113.0,217,225.0,131,133.0
Ble191,PAAZA,Captive,162,162.0,163,163.0,180,182.0,185,185.0,0,0.0,170,174.0,112,114.0,169,181.0,172,172.0,176,186.0,175,175.0,101,101.0,217,217.0,131,133.0
Ble181,PAAZA,Captive,162,162.0,163,167.0,180,182.0,200,200.0,159,171.0,170,170.0,114,114.0,181,183.0,186,186.0,176,176.0,175,175.0,101,107.0,205,205.0,133,133.0
Ble178,PAAZA,Captive,162,162.0,163,167.0,0,0.0,170,179.0,169,179.0,176,180.0,118,118.0,169,181.0,172,172.0,176,182.0,175,175.0,101,101.0,189,217.0,131,133.0
Ble177,PAAZA,Captive,162,162.0,163,167.0,180,180.0,176,188.0,167,169.0,154,170.0,114,116.0,181,181.0,178,178.0,180,180.0,175,175.0,95,101.0,189,189.0,133,133.0
Ble170,PAAZA,Captive,0,0.0,0,0.0,182,182.0,170,170.0,167,171.0,154,154.0,114,116.0,181,181.0,178,178.0,176,186.0,175,175.0,95,101.0,217,229.0,133,133.0
Ble168,PAAZA,Captive,162,162.0,163,163.0,180,182.0,170,188.0,159,159.0,170,170.0,116,116.0,179,181.0,178,178.0,176,176.0,175,175.0,113,119.0,193,209.0,133,133.0
Ble37,PAAZA,Captive,162,162.0,163,163.0,180,180.0,170,188.0,159,159.0,170,174.0,116,116.0,179,181.0,178,178.0,176,182.0,175,175.0,104,104.0,193,205.0,133,133.0
Ble30,PAAZA,Captive,162,162.0,163,167.0,182,182.0,182,188.0,171,173.0,170,176.0,114,116.0,181,183.0,178,178.0,176,186.0,175,175.0,101,119.0,201,205.0,131,131.0
Ble22,PAAZA,Captive,162,162.0,163,163.0,180,182.0,176,176.0,169,171.0,170,170.0,116,116.0,181,181.0,178,178.0,182,186.0,175,175.0,101,101.0,201,225.0,133,133.0
Ble19,PAAZA,Captive,166,166.0,163,167.0,180,182.0,188,200.0,159,171.0,156,174.0,0,0.0,181,181.0,172,178.0,176,176.0,175,175.0,101,101.0,205,209.0,131,131.0
Ble15,PAAZA,Captive,162,162.0,163,167.0,180,180.0,185,185.0,159,169.0,154,174.0,114,116.0,181,181.0,178,182.0,176,176.0,175,175.0,101,119.0,197,229.0,133,133.0
Ble10,PAAZA,Captive,0,0.0,163,167.0,180,180.0,170,200.0,159,159.0,170,174.0,114,114.0,179,181.0,176,178.0,176,182.0,175,175.0,95,101.0,189,225.0,131,131.0
Ble09,PAAZA,Captive,162,162.0,163,163.0,180,180.0,188,188.0,159,171.0,154,170.0,116,116.0,181,181.0,172,178.0,176,180.0,172,175.0,104,107.0,213,213.0,131,131.0
Ble04,PAAZA,Captive,162,162.0,167,167.0,180,180.0,176,188.0,167,171.0,156,170.0,118,118.0,181,183.0,172,182.0,180,180.0,175,175.0,101,101.0,189,197.0,133,133.0
44804,PAAZA,Captive,162,166.0,163,167.0,180,182.0,188,188.0,159,171.0,170,170.0,114,118.0,181,183.0,172,178.0,176,180.0,175,175.0,104,119.0,213,213.0,131,133.0
44801,PAAZA,Captive,162,162.0,163,167.0,180,180.0,170,185.0,159,171.0,170,170.0,112,116.0,181,183.0,176,178.0,176,176.0,172,175.0,101,101.0,205,205.0,131,131.0
44800,PAAZA,Captive,162,162.0,167,167.0,180,180.0,176,185.0,149,173.0,154,170.0,114,114.0,181,181.0,178,178.0,182,182.0,175,175.0,101,119.0,201,229.0,133,133.0
44799,PAAZA,Captive,162,162.0,163,163.0,180,180.0,182,185.0,159,171.0,174,174.0,116,118.0,181,181.0,172,178.0,176,176.0,175,175.0,101,104.0,189,217.0,131,131.0
44797,PAAZA,Captive,162,162.0,167,167.0,180,182.0,176,185.0,149,167.0,154,170.0,112,116.0,181,183.0,172,176.0,176,186.0,175,175.0,95,95.0,217,217.0,133,133.0
44796,PAAZA,Captive,162,162.0,163,167.0,180,180.0,170,200.0,159,159.0,170,170.0,114,114.0,181,181.0,178,186.0,176,182.0,175,175.0,101,113.0,213,221.0,131,131.0
44793,PAAZA,Captive,162,162.0,163,167.0,180,180.0,200,200.0,159,159.0,170,170.0,112,116.0,181,181.0,176,178.0,176,180.0,175,175.0,101,113.0,213,221.0,131,131.0
44791,PAAZA,Captive,162,162.0,163,167.0,180,180.0,188,200.0,167,171.0,172,178.0,114,116.0,179,181.0,178,178.0,176,186.0,175,175.0,101,101.0,189,193.0,133,133.0
44790,PAAZA,Captive,0,0.0,0,0.0,180,182.0,176,200.0,159,159.0,170,170.0,112,114.0,181,181.0,176,178.0,176,180.0,175,175.0,101,113.0,231,217.0,131,131.0
44787,PAAZA,Captive,162,162.0,167,167.0,180,182.0,176,200.0,159,171.0,156,156.0,112,116.0,181,181.0,172,186.0,180,182.0,175,175.0,95,101.0,205,217.0,133,133.0
Ble281,PAAZA,Captive,162,162.0,163,163.0,180,182.0,176,188.0,159,169.0,170,170.0,116,116.0,169,181.0,178,182.0,176,186.0,175,175.0,95,104.0,209,225.0,131,131.0
Ble282,PAAZA,Captive,162,162.0,163,163.0,180,180.0,176,188.0,159,159.0,168,170.0,112,116.0,169,181.0,178,182.0,176,176.0,175,175.0,113,119.0,193,201.0,133,133.0
Ble280,PAAZA,Captive,162,162.0,163,167.0,180,182.0,176,176.0,171,171.0,0,0.0,116,116.0,181,181.0,178,186.0,176,182.0,175,178.0,107,119.0,205,217.0,133,133.0
8544,PAAZA,Captive,162,162.0,163,167.0,180,180.0,188,188.0,167,169.0,170,170.0,116,116.0,181,183.0,178,178.0,176,176.0,175,175.0,101,119.0,193,217.0,133,133.0
Ble101,PAAZA,Captive,162,162.0,163,167.0,180,182.0,188,188.0,159,159.0,172,174.0,116,116.0,181,181.0,178,178.0,176,182.0,175,175.0,101,101.0,193,205.0,131,133.0
51381,PAAZA,Captive,162,162.0,163,163.0,182,182.0,179,185.0,157,161.0,170,174.0,114,114.0,181,181.0,178,178.0,176,176.0,175,175.0,101,101.0,193,193.0,133,133.0
51335,PAAZA,Captive,162,162.0,163,163.0,180,182.0,176,185.0,157,169.0,156,174.0,178,178.0,176,176.0,175,175.0,101,107.0,201,207.0,133,133.0,201,207.0,133,133.0
51333,PAAZA,Captive,162,162.0,163,163.0,182,182.0,179,185.0,157,161.0,170,174.0,114,120.0,181,181.0,178,178.0,176,176.0,175,175.0,101,107.0,193,201.0,133,133.0
51332,PAAZA,Captive,162,162.0,163,163.0,182,182.0,176,185.0,161,169.0,170,174.0,114,114.0,181,181.0,178,178.0,176,176.0,175,175.0,101,101.0,193,217.0,133,133.0
51151,PAAZA,Captive,162,162.0,163,167.0,182,182.0,185,188.0,159,171.0,154,154.0,116,116.0,181,181.0,172,178.0,176,182.0,175,175.0,110,119.0,189,205.0,133,133.0
51149,PAAZA,Captive,162,166.0,163,167.0,180,182.0,188,200.0,159,171.0,170,174.0,114,116.0,181,181.0,172,178.0,176,176.0,175,175.0,101,119.0,205,217.0,133,133.0
Ble195,PAAZA,Captive,0,0.0,0,0.0,0,0.0,0,0.0,167,171.0,170,170.0,114,116.0,179,181.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ble193,PAAZA,Captive,162,162.0,163,163.0,182,182.0,176,188.0,157,161.0,170,174.0,114,120.0,181,181.0,178,178.0,176,176.0,175,175.0,101,107.0,201,217.0,133,133.0
49439,PAAZA,Captive,162,162.0,163,167.0,0,0.0,0,0.0,169,171.0,156,180.0,172,178.0,178,178.0,175,175.0,101,101.0,197,197.0,133,133.0,197,197.0,133,133.0
Ble269,PAAZA,Captive,162,162.0,163,167.0,180,180.0,188,188.0,167,171.0,170,170.0,116,118.0,179,183.0,178,178.0,176,176.0,175,175.0,101,101.0,193,207.0,133,133.0
Ble268,PAAZA,Captive,162,162.0,163,167.0,180,180.0,176,185.0,0,0.0,170,170.0,116,116.0,181,181.0,178,178.0,176,176.0,175,175.0,101,101.0,205,217.0,133,133.0
Ble261,PAAZA,Captive,0,0.0,163,163.0,180,180.0,170,188.0,159,159.0,156,156.0,114,116.0,179,181.0,172,172.0,176,176.0,175,175.0,101,101.0,197,205.0,131,131.0
Ble260,PAAZA,Captive,162,162.0,163,167.0,182,182.0,176,176.0,159,171.0,170,180.0,114,118.0,181,181.0,172,178.0,176,182.0,175,175.0,95,101.0,189,205.0,133,133.0
Ble259,PAAZA,Captive,0,0.0,163,167.0,180,182.0,170,200.0,171,173.0,156,174.0,116,118.0,181,181.0,172,172.0,176,176.0,175,175.0,101,101.0,197,205.0,131,133.0
Ble198,PAAZA,Captive,0,0.0,163,163.0,180,180.0,170,200.0,0,0.0,170,174.0,116,118.0,181,181.0,172,178.0,176,176.0,175,175.0,101,101.0,197,209.0,131,131.0
Ble186,PAAZA,Captive,0,0.0,163,163.0,0,0.0,188,188.0,159,159.0,156,170.0,0,0.0,181,181.0,172,178.0,176,176.0,175,175.0,101,101.0,197,205.0,133,133.0
Ble184,PAAZA,Captive,162,162.0,163,167.0,180,182.0,185,188.0,169,171.0,180,180.0,114,116.0,181,181.0,172,178.0,176,182.0,175,175.0,119,119.0,193,217.0,133,133.0
Ble182,PAAZA,Captive,162,162.0,163,167.0,180,182.0,170,188.0,159,169.0,170,170.0,114,116.0,181,181.0,172,178.0,176,182.0,175,175.0,101,104.0,193,193.0,131,131.0
Ble100,PAAZA,Captive,162,162.0,163,167.0,182,182.0,185,188.0,169,171.0,170,170.0,114,118.0,181,181.0,178,178.0,176,182.0,175,175.0,101,119.0,193,217.0,133,133.0
Ble98,PAAZA,Captive,162,162.0,163,167.0,180,180.0,188,188.0,159,169.0,170,174.0,114,116.0,179,181.0,172,178.0,174,174.0,175,175.0,101,104.0,193,205.0,133,133.0
